#       x       RK1       RK2     Exact
   0.1000    0.1000    0.1000    0.1000
   0.3600    0.6200    0.8013    1.2805
   0.6200    1.5025    1.9940    3.2487
   0.8800    2.5371    2.5215    3.7675
   1.1400    2.7403    1.9890    2.6791
   1.4000    1.4529    1.4442    1.6672
   1.6600    0.9168    1.0230    1.0514
   1.9200    0.6018    0.7198    0.6931
   2.1800    0.4177    0.5108    0.4778
   2.4400    0.3017    0.3691    0.3422
   2.7000    0.2251    0.2726    0.2531
   2.9600    0.1724    0.2060    0.1924
   3.2200    0.1350    0.1589    0.1495
   3.4800    0.1077    0.1251    0.1185
   3.7400    0.0873    0.1001    0.0955
